"2024-10-02 14:01:11,251",0.264,0.033
"2024-10-02 14:32:31,976",0.264,0.026
"2024-10-02 15:03:53,480",0.264,0.019
"2024-10-02 15:35:13,595",0.264,0.011
"2024-10-02 16:06:33,346",0.220,0.048
"2024-10-02 16:37:54,175",0.264,0.041
"2024-10-02 17:09:16,920",0.264,0.034
"2024-10-02 17:40:37,512",0.264,0.026
"2024-10-02 18:11:58,959",0.264,0.019
"2024-10-02 18:43:18,319",0.264,0.012
"2024-10-02 19:14:38,187",0.220,0.049
"2024-10-02 19:45:58,629",0.264,0.041
"2024-10-02 20:17:19,838",0.264,0.034
"2024-10-02 20:48:38,890",0.264,0.027
"2024-10-02 21:19:58,369",0.264,0.019
"2024-10-02 21:51:21,727",0.264,0.012
"2024-10-02 22:22:41,744",0.220,0.049
"2024-10-02 22:54:02,601",0.264,0.041
"2024-10-02 23:25:23,964",0.264,0.034
"2024-10-02 23:56:43,126",0.264,0.027
"2024-10-03 00:28:02,986",0.264,0.020
"2024-10-03 00:59:27,097",0.264,0.013
"2024-10-03 01:30:47,271",0.220,0.049
"2024-10-03 02:02:06,728",0.264,0.042
"2024-10-03 02:33:26,672",0.264,0.035
"2024-10-03 03:04:44,511",0.264,0.027
"2024-10-03 03:36:04,168",0.264,0.020
"2024-10-03 04:07:24,757",0.264,0.013
"2024-10-03 04:38:44,872",0.220,0.049
"2024-10-03 05:10:05,562",0.264,0.042
"2024-10-03 05:41:26,614",0.264,0.035
"2024-10-03 06:12:46,014",0.264,0.028
"2024-10-03 06:44:05,895",0.264,0.020
"2024-10-03 07:15:26,272",0.264,0.013
"2024-10-03 07:46:49,673",0.264,0.006
"2024-10-03 08:18:07,460",0.220,0.043
"2024-10-03 08:49:27,861",0.264,0.035
"2024-10-03 09:20:48,441",0.264,0.028
"2024-10-03 09:52:09,941",0.264,0.021
"2024-10-03 10:23:30,001",0.264,0.014
"2024-10-03 10:54:50,323",0.264,0.007
"2024-10-03 11:26:10,624",0.220,0.044
"2024-10-03 11:57:31,663",0.264,0.037
"2024-10-03 12:28:52,676",0.264,0.030
"2024-10-03 13:00:12,476",0.264,0.023
"2024-10-03 13:31:32,613",0.264,0.016
"2024-10-03 14:02:53,353",0.264,0.009
"2024-10-03 14:34:13,223",0.220,0.046
"2024-10-03 15:05:38,276",0.264,0.039
"2024-10-03 15:36:59,193",0.264,0.032
"2024-10-03 16:08:21,636",0.264,0.026
"2024-10-03 16:39:41,367",0.264,0.019
"2024-10-03 17:11:01,440",0.264,0.011
"2024-10-03 17:42:21,095",0.220,0.049
"2024-10-03 18:13:41,232",0.264,0.042
"2024-10-03 18:45:03,115",0.264,0.035
"2024-10-03 19:16:22,669",0.264,0.028
"2024-10-03 19:47:42,200",0.264,0.021
"2024-10-03 20:19:02,881",0.264,0.014
"2024-10-03 20:50:28,177",0.264,0.008
"2024-10-03 21:21:49,032",0.220,0.045
"2024-10-03 21:53:09,986",0.264,0.038
"2024-10-03 22:24:31,302",0.264,0.032
"2024-10-03 22:55:51,465",0.264,0.025
"2024-10-03 23:27:11,197",0.264,0.018
"2024-10-03 23:58:31,085",0.264,0.012
"2024-10-04 00:29:51,229",0.220,0.049
"2024-10-04 01:01:10,924",0.308,0.042
"2024-10-04 01:32:31,466",0.264,0.035
"2024-10-04 02:03:50,240",0.264,0.029
"2024-10-04 02:35:09,046",0.264,0.022
"2024-10-04 03:06:29,222",0.264,0.015
"2024-10-04 03:37:51,805",0.264,0.009
"2024-10-04 04:09:11,906",0.220,0.046
"2024-10-04 04:40:32,460",0.264,0.040
"2024-10-04 05:11:53,820",0.264,0.033
"2024-10-04 05:43:14,485",0.264,0.027
"2024-10-04 06:14:36,448",0.264,0.021
"2024-10-04 06:45:56,372",0.264,0.015
"2024-10-04 07:17:16,176",0.264,0.008
"2024-10-04 07:48:35,555",0.220,0.046
"2024-10-04 08:19:55,081",0.264,0.039
"2024-10-04 08:51:15,341",0.264,0.033
"2024-10-04 09:22:36,420",0.264,0.026
"2024-10-04 09:53:55,120",0.264,0.020
"2024-10-04 10:25:14,844",0.264,0.014
